"Alloy steel","A steel in which a deliberate addition of one or more alloying elements, e.g. Mn, Ni, Cr, Mo etc has been made during steel making to enhance the properties of the steel.  The amounts of each element that must be present in steel before it is classified as an alloy steel are given in Table 1 in BS EN 10020: 1998.  At low levels of addition the steels may be classified as micro or low alloy.  The same standard classifies steels that do not meet the minimum requirements as ‘non-alloy’ steels."
"Alpha-Iron","The form of iron (also referred to as ferrite) that exists naturally below 910°C in which the iron atoms are arranged in a body centred cubic (bcc) crystalline pattern, i.e. an iron atom at each corner of a cube and a single one right in the middle of the cube."
"Anisotropy","Anisotropy is the word used to describe the fact materials in general, and steels in particular, are characterised by mechanical properties that differ depending upon the direction in which they are assessed.  Particular use is made of this in cold reduced formable steels intended for deep drawing applications; the production process route is such as to enhance this particular property, which is given a numerical value by a parameter known as the ‘r’ value."
"Annealing","A heat treatment that involves heating the steel to a pre-determined temperature, soaking the steel at that temperature for a pre-determined time and then cooling the steel down under controlled conditions.  After being annealed steel will be closer to its equilibrium state.  The temperature used can depend upon the chemical composition and the initial state of the steel and on the outcome desired of the treatment.  This requirement of the treatment gives rise to the terms: stress-relief annealing, recrystallisation annealing, spheroidisation annealing and full annealing."
"Arc furnace","A melting unit in which the heat is generated by striking an arc between graphite electrodes and the metal charge, which is usually in the form of solid scrap."
"Arriss","Removal of sharp edges / corners in preparation for painting."
"Austempering","A heat treatment process in which the steel is quenched from high temperature, when it is austenitic, to a temperature just above the austenite to martensite transformation temperature of the steel.  The steel is then held at this temperature until it has transformed completely to bainite.  It is then quenched to room temperature."
"Austenite","A solid solution of one or more elements in gamma iron. (q.v.)"
"Austenitic steels","These are steels that contain sufficient austenite stabilising elements, such as Mn, Ni and N, so that the microstructure of the steel is austenitic at room temperature.  Such steels cannot be quench or air hardened but will work harden rapidly; they are non-magnetic.  Important examples of austenitic steels are 18/8 (18% Cr, 8% Ni) stainless steel and Hadfield’s Manganese (14% Mn) rail steel."
"Bainite","An acicular aggregate of ferrite and carbide particles formed when austenite is transformed on cooling at temperatures in the intermediate (200-450°C) range, i.e. above the martensite and below the pearlite range."
"Bake hardenable steel","Bake hardenable steels are so constituted that after press forming and stoving (baking) through the paint curing process they age, i.e. they increase in strength.  In this way, good formability is combined with added stiffness in the finished component, which frequently is an automotive body panel in which enhanced dent resistance is a desirable attitude."
"Balanced steel","This is made by controlling the oxygen content of the liquid steel prior to ingot casting so that the amount of gas evolved during solidification balances the contraction, so minimising the formation of pipe.  (NB.  The majority of steels are now produced via the ConCast route.)"
"Basic oxygen steel making","Basic oxygen steel making is the process by which molten iron from a blast furnace is refined by the near total removal of carbon, silicon, manganese, phosphorus and sulphur to a point from which, by the addition of appropriate ferro-alloys and aluminium, the required grade of steel can be made.  The process involves the injection of high volumes of oxygen at very high pressure into a vessel which originally will have contained a charge comprising approximately 20% selected ferrous scrap and 80% molten iron.  The refractory lining of the vessel is basic, as opposed to acidic in nature, and basic fluxes are also added with the aim of creating a slag into which the impurities are driven.  The capacity of vessels is very variable, but typically can range from around 200 tonnes to in excess of 350 tonnes.  A cast of steel can be produced in less than 20 minutes.  With modern refractories, a vessel is expected to be capable of producing in excess of 1000 heats before it needs to be relined."
"Batching","The grouping together of parts to achieve an economic use of the process."
"Bend test","A form of mechanical testing used to assess the ductility of a piece of steel.  In carrying out such a test it will often be necessary to follow a detailed procedure which may cover the form, selection and preparation of the test specimen and exactly how the specimen is to be bent and the result assessed and reported, e.g. see BS1639: 1964.  The results are normally expressed as a minimum bend diameter in the form nT, where n is a number (sometimes a decimal fraction), and T is the thickness of the steel."
"Billet","A semi-finished long product, sometimes of rectangular but more usually of square cross-section, with radiused corners.  It can be produced from the hot rolling of a bloom, which has in turn been hot-rolled from ingot stock, or it can be produced directly by continuous casting.  Square billet has sides between 50-120mm, whereas rectangular billet has a cross-sectional area between 2500 and 14400mm2 and has a width to thickness ratio greater than 1:1 and less than 2:1.  In practice, sizes up to 160mm square are often referred to as billet."
"Bismuth","Added at a level of 0.1-0.2% as a direct replacement for lead, (it is more expensive, but there are not the toxicity problems associated with making lead additions), or at a lower level of 0.05-0.1% in combinations with sulphur, lead and tellurium, to improve the machinability of steel."
"Blast furnace","A tall, 60-70m high, refractory lined furnace of circular cross-section (diameter at the base – 12m) from the bottom of which liquid cast pig iron it tapped periodically.  This is produced by feeding in a solid mixture of iron ore, limestone and coke at the top and by blowing in pre-heated air, and usually fuel, at the bottom."
"Bloom","A semi-finished long product, sometimes of rectangular but more generally of square cross-section, with radiused corners.   It can be produced form the hot rolling of ingot stock or by continuous casting.  Its size is larger than that of billet; a square bloom has sides generally greater than 120mm, whereas a rectangular bloom has a cross-sectional area greater than 14400mm2 and has a ratio of width to thickness greater than 1:1 and less than 2:1."
"Boron steels","Steels that contain additions of boron, generally between 0.002-0.003%, which is added to increase the hardenability of the steel."
"Brazing","A method for joining steel parts together by melting a layer of a lower melting point alloy, usually brass, between the adjoining steel surfaces.  The heat used is not sufficient to melt the steel and a flux is used to ensure flow of the brazing alloy between the steel surfaces."
"Bright annealing","An annealing heat treatment carried out using either a specially controlled atmosphere or a vacuum, thus preventing oxidation and so keeping the surface of the steel being heat-treated bright and shiny."
"Bright drawing","The process of drawing steel, which is initially at room temperature, in bar or coil form through a die in order to produce a product close dimensional tolerances, with changed mechanical properties and a bright surface finish.  Prior to the drawing operation the steel surface may need to be prepared by pickling or shot blasting in order to produce a satisfactory initial surface condition."
"Brinell hardness test","A test in which a hardened steel ball, usually 10mm in diameter, is pressed into the surface of the steel for a set time using a load of 3000kgf.  The steel ball indenter is then removed and the diameter of the indentation is measured and used to determine the Brinell Hardness Number, HB, of the steel by reference to standard tables."
"Calcium","Aluminium – killed steel, while in the ladle prior to being cast, often has calcium, in the form of calcium silicide, injected into the liquid bath.  The addition of calcium lowers the level of the remaining oxygen and sulphur contents of the steel and modifies the residual inclusion composition and shape.  This has the effect of improving the cleanliness and castability and of reducing the anisotropy of toughness and ductility of the steel produced."
"Carbides","Carbides are chemical compounds comprising carbon and either single metallic elements, or more complex combinations of more than one metallic element.  The simplest example is iron carbide that is always present in steels.  Provided carbides are present in the correct form, i.e. with regard to size and dispersion, they are beneficial.  Particular use is made of carbides, (or the more complex carbonitrides, which include nitrogen) in high strength low alloy (HSLA) steels.  A proportion of the increased strength of these materials is due to the effects which e.g. niobium carbide precipitates have on the structure of the product."
